         23704100 function calls (23682054 primitive calls) in 86.091 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <string>:1(Std_dev)
        1    0.000    0.000    0.000    0.000 <string>:1(String)
        1    0.000    0.000    0.000    0.000 <string>:1(TestResults)
        1    0.000    0.000    0.000    0.000 <string>:1(Traceback)
        1    0.000    0.000    0.000    0.000 <string>:1(TrigRule)
        1    0.000    0.000    0.000    0.000 <string>:1(TrigSubstitutionRule)
        1    0.000    0.000    0.000    0.000 <string>:1(Ttest_1sampResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Ttest_indResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Ttest_relResult)
        1    0.000    0.000    0.000    0.000 <string>:1(URule)
        1    0.000    0.000    0.000    0.000 <string>:1(Variance)
        1    0.000    0.000    0.000    0.000 <string>:1(WilcoxonResult)
        1    0.000    0.000    0.000    0.000 <string>:1(_ASN1Object)
        1    0.000    0.000    0.000    0.000 <string>:1(_CVScoreTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(_Version)
        1    0.000    0.000    0.000    0.000 <string>:1(manifest_mod)
      300    0.000    0.000    0.082    0.000 <string>:1(verbose)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
     1426    0.001    0.000    0.002    0.000 <string>:8(__new__)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:112(Error)
        3    0.000    0.000    0.000    0.000 ConfigParser.py:120(_set_message)
        3    0.000    0.000    0.000    0.000 ConfigParser.py:130(__init__)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:139(NoSectionError)
        3    0.000    0.000    0.000    0.000 ConfigParser.py:142(__init__)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:147(DuplicateSectionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:155(NoOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:165(InterpolationError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:174(InterpolationMissingOptionError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:188(InterpolationSyntaxError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:192(InterpolationDepthError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:204(ParsingError)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:217(MissingSectionHeaderError)
        1    0.000    0.000    0.002    0.002 ConfigParser.py:231(RawConfigParser)
        3    0.000    0.000    0.001    0.000 ConfigParser.py:232(__init__)
        3    0.000    0.000    0.000    0.000 ConfigParser.py:285(read)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:355(_get)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:358(getint)
        2    0.000    0.000    0.000    0.000 ConfigParser.py:373(optionxform)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:376(has_option)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:558(_Chainmap)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:588(ConfigParser)
        3    0.000    0.000    0.000    0.000 ConfigParser.py:590(get)
        1    0.000    0.000    0.000    0.000 ConfigParser.py:686(SafeConfigParser)
        1    0.000    0.000    0.003    0.003 ConfigParser.py:88(<module>)
        1    0.000    0.000    0.000    0.000 ElementPath.py:237(_SelectorContext)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:104(_SimpleElementPath)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1210(_IterParseIterator)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1376(TreeBuilder)
        1    0.000    0.000    0.000    0.000 ElementTree.py:138(ParseError)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1466(XMLParser)
        1    0.000    0.000    0.000    0.000 ElementTree.py:171(Element)
        1    0.000    0.000    0.000    0.000 ElementTree.py:580(QName)
        1    0.004    0.004    0.005    0.005 ElementTree.py:59(<module>)
        1    0.000    0.000    0.000    0.000 ElementTree.py:605(ElementTree)
        1    0.000    0.000    0.000    0.000 FieldTrip.py:100(Chunk)
        1    0.000    0.000    0.000    0.000 FieldTrip.py:108(Header)
        1    0.000    0.000    0.000    0.000 FieldTrip.py:128(Event)
        1    0.000    0.000    0.000    0.000 FieldTrip.py:208(Client)
        1    0.000    0.000    0.000    0.000 FieldTrip.py:5(<module>)
        1    0.000    0.000    0.000    0.000 FixTk.py:1(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:1938(_ImageCrop)
        1    0.000    0.000    0.000    0.000 Image.py:1974(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 Image.py:1979(ImageTransformHandler)
        1    0.019    0.019    0.028    0.028 Image.py:27(<module>)
        1    0.000    0.000    0.000    0.000 Image.py:37(DecompressionBombWarning)
        1    0.000    0.000    0.000    0.000 Image.py:41(_imaging_not_installed)
        1    0.000    0.000    0.000    0.000 Image.py:443(_E)
        1    0.000    0.000    0.000    0.000 Image.py:478(Image)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:113(MaxFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:127(ModeFilter)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:145(GaussianBlur)
        1    0.000    0.000    0.000    0.000 ImageFilter.py:159(UnsharpMask)
